Zipcode,Fire total,Fire Call Alarm,Fire Call Non Life-threatening,Fire Call Fire,Fire Call Potentially Life-Threatening,Fire Transport,Fire Priority 3,Business total,Business NAICS Retail Trade,Business NAICS Financial Services,Business NAICS Construction,"Business NAICS Professional, Scientific, and Technical Services",Business NAICS Food Services,Business NAICS Real Estate and Rental and Leasing Services,Business NAICS Information,Business NAICS Accommodations,Business NAICS Transportation and Warehousing,Business NAICS Certain Services,Business NAICS Wholesale Trade,Business NAICS Manufacturing,Business NAICS Administrative and Support Services,Business NAICS Multiple,Business NAICS Private Education and Health Services,"Business NAICS Arts, Entertainment, and Recreation",Business NAICS Insurance,Business NAICS Utilities,Restaurant total,Restaurant inspection score,Restaurant low risk,Restaurant moderate risk,Restaurant high risk
94124.0,15312,3016,3658,1176,7316,4181,11248,5377,416,25,787,233,422,353,37,121,298,147,304,287,117,186,53,205,3,8,514,86.53947368421052,188,134,56
94116.0,5891,1400,1484,185,2782,1692,4304,3276,195,62,428,352,143,405,24,188,78,88,82,20,31,80,185,188,19,5,223,83.69364161849711,90,76,23
94111.0,5035,1464,1199,288,2059,1252,3715,6652,308,916,101,1744,354,667,245,41,33,107,121,57,226,91,181,74,134,6,846,86.65293185419968,245,265,107
94102.0,39657,7293,10004,418,21633,12239,27533,7001,553,105,119,986,636,1009,159,287,61,196,71,33,166,146,555,313,6,4,1229,85.82374100719424,378,322,143
94131.0,5386,1798,1237,196,2123,1355,4022,2687,99,42,160,448,85,403,43,281,25,54,35,20,50,84,120,219,3,0,133,87.97029702970298,47,30,9
94114.0,8961,2230,2447,253,3993,2309,6141,5698,413,71,145,801,322,991,78,523,23,114,49,19,76,145,440,337,14,0,431,89.39867109634551,126,133,30
94121.0,7169,1937,1645,613,2932,1770,5350,4168,267,48,325,410,240,983,44,240,88,96,65,25,45,105,153,205,13,1,756,85.03412969283276,261,233,92
94112.0,12755,2192,3397,432,6641,4004,8715,4870,417,43,659,319,306,372,42,288,135,140,94,44,92,142,153,202,18,11,795,83.6,266,228,122
94108.0,6433,2185,1385,157,2665,1565,4824,5255,701,186,44,867,276,923,164,96,23,170,65,29,106,117,305,127,19,3,774,85.72972972972973,271,234,91
94105.0,7590,2137,1741,248,3448,1862,5518,6441,229,490,90,1661,500,612,537,35,33,102,68,30,288,108,161,112,78,9,961,85.64055944055944,266,311,144
94107.0,12849,3180,3109,688,5816,3634,9166,8977,521,179,252,1544,663,1257,503,236,104,185,217,227,191,232,231,491,29,8,887,89.90013495276654,248,306,68
94123.0,6408,2635,1237,288,2226,1315,5000,5016,428,124,100,622,305,1320,42,210,7,132,76,18,70,94,320,150,11,2,190,88.58333333333333,70,32,22
94103.0,40495,7101,10300,674,22196,12597,27862,10161,1083,150,270,1331,897,1408,406,370,129,261,324,200,170,298,268,489,45,14,1677,86.04750957854407,599,522,212
94109.0,26395,6402,6332,488,12981,7552,18586,7923,672,90,151,888,564,2043,74,336,78,198,99,34,102,194,460,321,23,5,889,85.99844720496894,303,236,94
94115.0,11882,3659,2755,236,5168,3376,8759,5561,433,78,124,786,320,1058,50,229,44,122,62,22,81,140,690,201,7,1,783,84.95076400679118,285,248,75
94132.0,7493,2088,2064,325,2963,1922,5379,2166,231,33,169,196,181,302,21,51,37,49,46,13,29,74,132,89,6,0,328,88.56666666666666,108,86,17
94117.0,8787,2654,2075,274,3734,2282,6311,5581,513,31,177,594,345,1386,63,440,41,89,50,33,69,150,247,322,4,2,375,86.41035856573706,145,110,37
94110.0,22981,4564,6175,840,11252,6778,15651,10757,946,118,462,1223,976,1373,182,814,92,201,120,168,158,297,500,867,15,10,1868,85.1120751988431,621,602,252
94127.0,3000,941,819,105,1104,744,2143,2181,164,40,159,358,90,326,44,112,16,59,30,8,35,54,137,95,14,2,170,84.4,62,50,15
94104.0,2100,561,530,58,940,478,1497,5469,150,588,45,1659,205,558,213,18,17,80,45,21,233,63,251,48,83,2,469,87.08498583569406,145,156,54
94133.0,9738,2442,2493,371,4365,2704,6915,5325,631,105,97,602,569,1217,91,190,49,119,105,20,90,104,118,243,15,2,902,87.19651347068145,292,282,73
94122.0,9707,2463,2534,420,4224,2704,6933,5680,456,55,476,617,412,998,53,311,88,123,88,36,62,159,311,290,25,6,715,83.87943262411348,253,220,92
94118.0,8124,2422,2085,261,3320,2004,5914,5903,455,87,233,766,324,1328,50,213,53,96,60,44,84,123,606,221,22,1,922,84.18073878627969,361,281,111
94134.0,7480,1367,2050,404,3601,2243,5185,2068,179,14,302,145,111,134,17,92,81,61,51,29,47,64,41,95,12,3,383,82.36042402826855,128,105,64
94158.0,2868,919,735,81,1109,720,2183,925,62,28,23,101,180,213,22,11,23,5,10,11,19,15,13,22,0,0,205,89.50769230769231,19,28,11
94130.0,2021,375,601,185,843,324,1436,453,108,0,18,36,16,3,3,0,15,3,2,16,9,24,2,22,0,1,14,92.8,6,4,0
94129.0,1595,365,331,525,341,252,1311,577,32,95,7,105,16,16,23,1,5,12,7,5,35,6,30,37,3,2,1,,0,0,0
