Zipcode,Fire total,Fire Call Alarm,Fire Call Non Life-threatening,Fire Call Fire,Fire Call Potentially Life-Threatening,Fire Transport,Fire Priority 3,Business total,Business NAICS Retail Trade,Business NAICS Financial Services,Business NAICS Construction,"Business NAICS Professional, Scientific, and Technical Services",Business NAICS Food Services,Business NAICS Real Estate and Rental and Leasing Services,Business NAICS Information,Business NAICS Accommodations,Business NAICS Transportation and Warehousing,Business NAICS Certain Services,Business NAICS Wholesale Trade,Business NAICS Manufacturing,Business NAICS Administrative and Support Services,Business NAICS Multiple,Business NAICS Private Education and Health Services,"Business NAICS Arts, Entertainment, and Recreation",Business NAICS Insurance,Business NAICS Utilities,Restaurant total,Restaurant inspection score,Restaurant low risk,Restaurant moderate risk,Restaurant high risk
94124.0,13951,2581,3126,847,7397,4013,10127,5666,352,16,640,182,301,315,36,36,307,122,286,264,98,101,29,174,4,5,0,,0,0,0
94116.0,6263,1350,1485,183,3241,1741,4534,3447,159,59,365,281,127,401,15,50,93,73,72,14,25,49,165,154,17,4,0,,0,0,0
94111.0,5379,1582,1120,244,2433,1235,3965,7088,251,893,71,1658,308,676,218,33,28,122,136,49,196,56,147,70,131,5,0,,0,0,0
94102.0,38404,7801,9034,356,21212,11734,26788,7524,485,90,96,878,516,973,118,235,118,164,63,27,137,71,471,268,8,2,0,,0,0,0
94131.0,4754,1526,1059,159,2009,1220,3568,2885,94,39,139,386,64,412,44,118,42,48,29,15,42,45,96,184,2,0,0,,0,0,0
94114.0,9089,2537,1970,323,4259,2270,6513,5915,358,71,131,709,274,958,60,266,21,93,37,11,58,84,361,287,7,0,0,,0,0,0
94121.0,7552,1680,1707,445,3720,1971,5476,4585,231,44,294,333,198,956,36,114,168,79,69,17,30,64,138,162,10,1,0,,0,0,0
94112.0,12694,2492,2949,490,6763,3811,9086,5221,342,38,514,260,227,333,28,106,177,117,88,35,48,65,128,145,15,8,0,,0,0,0
94108.0,7093,2518,1349,213,3013,1591,5333,5559,673,163,30,784,245,885,134,84,34,189,75,28,101,81,285,96,22,3,0,,0,0,0
94105.0,7444,2022,1691,206,3525,1709,5338,6747,195,432,63,1508,436,578,471,16,43,136,67,28,264,61,145,99,77,10,0,,0,0,0
94107.0,12690,3029,3000,559,6102,3420,9025,9359,430,136,207,1356,736,796,434,105,118,196,218,200,161,146,184,427,19,9,0,,0,0,0
94123.0,5915,2077,1238,316,2284,1308,4364,5249,366,143,72,515,236,1300,43,127,16,93,69,14,56,65,266,129,7,0,0,,0,0,0
94103.0,37461,6898,9121,755,20687,11299,25703,10696,1027,132,219,1146,695,1319,313,184,122,241,338,193,139,180,204,405,31,6,0,,0,0,0
94109.0,25397,6835,5755,494,12313,6617,18048,8679,568,88,126,777,442,1944,75,206,138,193,97,31,79,92,396,273,18,3,0,,0,0,0
94115.0,12498,3734,2705,270,5789,3401,9123,5735,366,55,98,656,255,1050,36,130,61,114,57,16,55,76,583,179,7,0,0,,0,0,0
94132.0,7184,2162,1820,403,2799,1723,5070,2310,182,34,146,148,135,285,17,12,76,30,36,9,16,33,111,76,5,0,0,,0,0,0
94117.0,10340,2607,2249,328,5155,2786,7549,5966,449,33,159,521,281,1394,57,231,59,73,43,31,50,81,223,269,3,1,0,,0,0,0
94110.0,23809,5332,5255,864,12358,6774,16961,11143,809,101,400,1017,749,1349,145,399,110,165,106,132,111,179,387,724,14,7,0,,0,0,0
94127.0,2813,945,654,87,1127,703,2093,2319,137,41,140,322,77,296,34,31,26,62,33,11,28,31,119,82,8,3,0,,0,0,0
94104.0,2279,843,433,45,958,465,1718,5978,149,577,35,1599,175,547,190,14,23,90,46,20,221,45,209,48,74,2,0,,0,0,0
94133.0,10996,3120,2183,394,5299,2716,8073,5909,617,97,78,521,485,1209,85,138,68,114,104,15,79,60,97,221,10,2,0,,0,0,0
94122.0,10236,2191,2346,526,5171,2777,7294,6122,383,59,412,519,339,990,50,121,144,118,86,35,40,87,271,249,25,6,0,,0,0,0
94118.0,8367,2238,2062,311,3756,1905,6131,6458,417,82,209,689,287,1317,43,112,86,85,60,36,66,75,545,193,24,0,0,,0,0,0
94134.0,7603,1332,1890,226,4155,2314,5305,2237,128,12,243,121,83,116,12,27,153,50,46,24,30,20,34,73,11,3,0,,0,0,0
94158.0,2049,786,391,85,786,420,1608,795,38,23,19,68,129,201,17,6,15,11,10,11,13,7,8,11,0,0,0,,0,0,0
94130.0,2004,374,549,251,830,309,1385,499,117,0,13,25,14,4,0,1,13,4,1,15,5,17,1,18,0,0,0,,0,0,0
94129.0,1456,350,234,503,369,199,1212,632,16,97,6,96,14,17,22,0,4,12,5,6,31,2,23,33,3,2,0,,0,0,0
