Zipcode,Fire total,Fire Call Alarm,Fire Call Non Life-threatening,Fire Call Fire,Fire Call Potentially Life-Threatening,Fire Transport,Fire Priority 3,Business total,Business NAICS Retail Trade,Business NAICS Financial Services,Business NAICS Construction,"Business NAICS Professional, Scientific, and Technical Services",Business NAICS Food Services,Business NAICS Real Estate and Rental and Leasing Services,Business NAICS Information,Business NAICS Accommodations,Business NAICS Transportation and Warehousing,Business NAICS Certain Services,Business NAICS Wholesale Trade,Business NAICS Manufacturing,Business NAICS Administrative and Support Services,Business NAICS Multiple,Business NAICS Private Education and Health Services,"Business NAICS Arts, Entertainment, and Recreation",Business NAICS Insurance,Business NAICS Utilities,Restaurant total,Restaurant inspection score,Restaurant low risk,Restaurant moderate risk,Restaurant high risk
94124.0,14752,2942,3442,934,7409,4293,10636,5887,384,18,706,203,342,336,41,54,368,126,307,283,110,129,38,188,5,7,35,86.2,12,9,2
94116.0,5975,1282,1562,216,2915,1815,4180,3572,180,61,404,323,148,411,23,88,117,75,78,16,29,67,182,177,18,6,61,87.28,21,23,6
94111.0,5698,1809,1196,268,2424,1348,4196,7157,273,914,80,1743,341,687,237,36,33,112,136,55,213,63,165,72,132,5,139,85.04166666666667,54,50,15
94102.0,39753,7489,9852,430,21949,12458,27367,7727,526,96,108,962,585,988,135,260,148,174,71,31,149,87,516,296,8,2,345,85.67045454545455,154,83,32
94131.0,5220,1728,1158,139,2187,1332,3872,2965,108,42,154,414,76,426,48,176,51,51,34,18,51,60,113,205,2,1,56,88.88888888888889,27,13,4
94114.0,9405,2300,2213,315,4569,2498,6688,6049,394,80,136,780,298,997,76,355,24,101,44,17,73,101,405,325,12,0,70,91.46511627906976,23,22,6
94121.0,7870,1972,1803,600,3486,1977,5665,4610,264,48,317,378,210,982,42,142,186,85,70,26,36,79,151,188,10,3,130,81.54081632653062,45,30,20
94112.0,13515,2896,3460,338,6802,4195,9259,5345,376,42,576,292,262,358,34,163,237,130,91,39,59,94,137,183,16,11,191,86.42424242424242,77,43,22
94108.0,6831,2371,1319,155,2984,1604,5193,5650,711,178,43,843,256,919,149,80,36,182,73,28,111,96,297,109,23,4,117,82.875,50,34,15
94105.0,7942,2316,1777,213,3631,1879,5744,6930,203,469,76,1626,472,598,520,27,49,127,77,29,274,76,155,111,76,10,87,90.57627118644068,34,16,5
94107.0,12845,3460,2906,521,5950,3396,9241,10035,482,160,234,1528,778,1218,483,162,139,195,233,223,182,179,209,461,27,11,116,91.2439024390244,40,26,14
94123.0,6248,2422,1223,227,2362,1322,4691,5384,408,153,87,585,261,1343,45,154,20,103,76,15,64,80,300,140,8,0,57,83.14285714285714,22,16,4
94103.0,39568,7206,10215,660,21456,12132,26853,11071,1088,151,243,1295,756,1409,373,239,163,235,348,207,153,222,235,466,37,7,324,87.90416666666667,96,110,31
94109.0,26125,6384,6212,369,13136,7239,18222,8848,629,98,138,858,499,2027,84,257,161,210,100,37,93,119,434,311,20,3,306,83.39819004524887,111,92,28
94115.0,12317,3314,2822,202,5975,3527,8805,5903,416,63,114,716,285,1085,47,172,73,119,59,23,63,103,637,192,7,0,170,88.54,36,48,15
94132.0,7283,2169,1868,433,2754,1815,5215,2367,205,35,153,174,148,292,18,24,93,34,44,13,16,49,123,80,5,1,88,90.71875,36,21,5
94117.0,9944,2449,2329,268,4895,2808,7161,6131,497,34,170,587,312,1441,61,313,65,83,48,36,56,107,247,316,5,1,45,87.68571428571428,18,11,3
94110.0,23546,4637,5881,1008,11998,7036,16145,11453,879,119,437,1144,860,1387,168,556,132,185,118,148,120,224,445,795,17,9,369,89.0813559322034,181,98,21
94127.0,2689,751,677,50,1192,762,1905,2303,147,40,148,343,89,311,38,51,29,54,33,13,33,35,135,88,8,4,41,86.45,17,2,5
94104.0,2378,818,495,59,1005,546,1757,6086,160,595,40,1675,193,573,211,16,23,93,50,21,231,53,234,52,81,2,51,92.8,20,12,7
94133.0,11408,3049,2631,320,5402,2987,8217,5992,640,96,88,579,539,1257,99,164,83,118,110,17,94,77,105,244,15,2,296,86.14782608695653,132,79,18
94122.0,9993,2057,2423,472,5032,2798,7092,6188,417,63,446,575,373,998,55,187,176,127,95,39,51,113,303,272,26,6,194,86.34532374100719,58,72,25
94118.0,8518,2258,2214,121,3918,2050,6014,6500,436,83,225,751,325,1357,47,155,105,94,62,46,72,92,575,211,24,1,183,84.68027210884354,65,58,26
94134.0,7482,1399,1923,293,3850,2355,5180,2336,145,12,271,136,104,121,13,37,195,55,51,25,39,30,37,80,15,3,82,82.63492063492063,27,23,12
94158.0,2435,776,523,89,1040,588,1836,841,42,27,21,84,137,208,19,11,17,11,10,11,14,12,10,12,0,0,7,96.0,1,3,0
94130.0,2186,364,600,273,949,359,1517,511,119,0,15,27,18,4,0,1,15,4,1,18,6,20,2,19,0,0,10,88.5,4,2,1
94129.0,1540,388,273,546,315,215,1297,650,17,99,6,109,16,16,25,1,5,13,6,5,32,4,25,34,4,2,0,,0,0,0
