Zipcode,Fire total,Fire Call Alarm,Fire Call Non Life-threatening,Fire Call Fire,Fire Call Potentially Life-Threatening,Fire Transport,Fire Priority 3,Business total,Business NAICS Retail Trade,Business NAICS Financial Services,Business NAICS Construction,"Business NAICS Professional, Scientific, and Technical Services",Business NAICS Food Services,Business NAICS Real Estate and Rental and Leasing Services,Business NAICS Information,Business NAICS Accommodations,Business NAICS Transportation and Warehousing,Business NAICS Certain Services,Business NAICS Wholesale Trade,Business NAICS Manufacturing,Business NAICS Administrative and Support Services,Business NAICS Multiple,Business NAICS Private Education and Health Services,"Business NAICS Arts, Entertainment, and Recreation",Business NAICS Insurance,Business NAICS Utilities,Restaurant total,Restaurant inspection score,Restaurant low risk,Restaurant moderate risk,Restaurant high risk
94124.0,15237,3127,3609,1087,7380,4247,10977,6107,400,20,741,223,396,358,40,88,367,133,316,290,118,155,41,204,5,7,431,86.91065292096219,124,129,51
94116.0,6498,1469,1687,205,3134,1911,4653,3674,195,62,415,344,156,423,25,138,121,85,85,20,30,78,197,197,17,7,251,83.77339901477832,84,84,32
94111.0,5348,1445,1263,364,2273,1408,3866,7292,298,937,94,1784,352,694,250,39,34,123,131,57,229,83,174,78,135,6,488,88.45040214477211,208,116,49
94102.0,40139,7347,9922,562,22302,12906,27769,7933,550,100,112,1015,611,1012,150,297,147,196,74,36,155,116,545,323,10,4,1239,86.51576576576576,470,314,118
94131.0,5443,1745,1357,191,2150,1463,3995,3017,112,43,163,452,85,432,49,228,52,54,34,16,49,72,120,220,2,0,199,87.82978723404256,106,48,11
94114.0,10372,2685,2507,200,4975,2717,7377,6183,412,83,144,836,313,1003,84,474,24,112,49,19,81,116,439,341,14,0,534,86.88662790697674,172,160,53
94121.0,8462,2105,2041,518,3793,2205,6044,4682,285,49,332,404,224,992,49,177,190,93,66,27,46,94,156,204,10,3,398,83.40989399293287,152,107,51
94112.0,14103,2872,3562,377,7278,4529,9883,5521,415,41,632,310,282,373,39,225,244,138,98,41,69,110,153,199,19,11,736,85.23713235294117,303,207,75
94108.0,7214,2621,1509,250,2834,1672,5450,5781,721,187,46,894,280,946,170,95,36,186,77,30,114,109,303,117,24,4,570,85.25373134328358,237,166,62
94105.0,7968,2329,1967,146,3522,2035,5535,7049,228,488,86,1694,482,611,540,29,45,127,79,30,289,92,162,118,80,9,599,84.81002087682673,170,187,84
94107.0,12718,3032,2987,550,6122,3627,9001,10232,511,176,248,1602,812,1240,526,231,137,202,234,230,194,199,222,498,29,8,691,87.96177062374245,209,187,75
94123.0,6181,2261,1223,289,2408,1337,4736,5467,427,155,100,617,284,1355,43,188,19,117,82,17,66,86,319,160,11,1,466,86.04494382022472,194,136,31
94103.0,39907,6873,10430,759,21837,12308,27261,11380,1108,166,258,1351,815,1465,415,324,162,243,341,212,164,265,263,500,42,7,1458,85.97032967032968,396,428,183
94109.0,26192,6266,6376,414,13113,7633,18195,8912,650,100,152,893,543,2064,90,310,156,205,104,42,105,151,452,342,19,4,1279,84.63101604278074,505,332,140
94115.0,12693,3663,2916,275,5830,3619,9212,6055,428,70,125,777,295,1116,44,221,75,122,62,24,71,125,683,212,7,1,340,88.52173913043478,80,84,41
94132.0,7258,1933,1932,493,2860,1874,5154,2446,223,34,159,187,162,302,21,41,95,42,46,15,25,65,127,89,6,1,417,89.7246835443038,211,110,24
94117.0,10993,2820,2586,296,5287,3188,7896,6257,504,35,178,627,338,1450,62,396,67,93,50,39,66,133,265,345,4,1,276,87.66009852216749,102,76,26
94110.0,24620,4491,6577,774,12755,7558,16535,11726,912,116,459,1227,916,1411,177,723,134,197,124,161,141,261,484,852,15,10,1912,85.4181446111869,775,494,220
94127.0,2978,839,704,63,1368,852,2181,2351,157,40,159,357,91,319,41,75,31,59,35,13,33,53,135,98,11,4,184,85.77777777777777,83,44,15
94104.0,2214,668,498,45,1003,506,1628,6076,158,599,40,1708,194,571,220,16,22,83,49,23,234,58,247,57,83,2,400,85.01194029850747,171,128,46
94133.0,10733,2717,2547,364,5105,2926,7679,6030,644,110,99,608,569,1252,104,206,80,123,112,19,97,93,118,250,19,2,1185,85.59420289855072,537,292,103
94122.0,10693,2361,2650,382,5294,3125,7646,6253,429,62,465,605,390,1029,62,251,177,136,98,44,56,142,312,286,27,6,565,85.83962264150944,225,165,59
94118.0,9383,2725,2342,370,3946,2242,6815,6583,455,86,234,785,342,1372,57,195,106,95,62,47,84,101,608,230,24,1,663,82.80042016806723,194,186,116
94134.0,8338,1771,2090,325,4145,2523,5813,2397,158,13,285,148,107,130,15,64,192,61,51,26,42,41,39,84,15,4,332,83.76569037656904,120,97,44
94158.0,2605,693,723,98,1091,687,1891,914,50,30,22,98,154,214,19,20,18,10,12,11,16,17,14,20,0,0,43,87.82608695652173,7,14,1
94130.0,2288,264,817,278,929,386,1465,517,122,0,17,35,18,4,2,1,16,3,2,19,6,21,1,19,0,0,4,100.0,0,0,0
94129.0,1577,433,289,404,375,232,1311,644,19,102,7,105,14,16,25,1,6,13,7,5,32,6,28,36,4,2,2,100.0,0,0,0
