Zipcode,Fire total,Fire Call Alarm,Fire Call Non Life-threatening,Fire Call Fire,Fire Call Potentially Life-Threatening,Fire Transport,Fire Priority 3,Business total,Business NAICS Retail Trade,Business NAICS Financial Services,Business NAICS Construction,"Business NAICS Professional, Scientific, and Technical Services",Business NAICS Food Services,Business NAICS Real Estate and Rental and Leasing Services,Business NAICS Information,Business NAICS Accommodations,Business NAICS Transportation and Warehousing,Business NAICS Certain Services,Business NAICS Wholesale Trade,Business NAICS Manufacturing,Business NAICS Administrative and Support Services,Business NAICS Multiple,Business NAICS Private Education and Health Services,"Business NAICS Arts, Entertainment, and Recreation",Business NAICS Insurance,Business NAICS Utilities,Restaurant total,Restaurant inspection score,Restaurant low risk,Restaurant moderate risk,Restaurant high risk
94124.0,13111,2606,2886,892,6725,3528,9484,5045,311,14,556,156,219,284,35,14,252,102,256,217,81,81,25,139,4,4,0,,0,0,0
94116.0,5932,1363,1417,253,2899,1525,4218,3106,131,48,323,231,93,364,12,15,74,60,61,10,21,36,119,129,13,4,0,,0,0,0
94111.0,4432,1605,834,303,1690,895,3403,6464,197,749,56,1413,250,614,172,32,23,110,127,41,169,43,123,53,125,4,0,,0,0,0
94102.0,35898,7767,8371,976,18784,9820,25018,6776,416,74,69,710,404,842,97,193,99,144,56,23,126,55,390,216,10,2,0,,0,0,0
94131.0,4575,1590,1020,145,1820,1139,3427,2560,78,32,121,317,49,375,36,29,35,37,22,11,34,33,83,156,2,0,0,,0,0,0
94114.0,8023,2401,1695,243,3683,1867,5767,5195,302,59,116,578,209,898,47,85,18,70,28,6,47,55,302,241,6,0,0,,0,0,0
94121.0,7029,1797,1513,388,3331,1670,5201,4206,184,41,240,268,149,895,23,70,149,66,58,11,22,48,108,133,7,1,0,,0,0,0
94112.0,12208,2519,2881,454,6354,3416,8625,4573,262,39,441,215,176,301,17,28,137,97,84,31,41,46,104,125,9,5,0,,0,0,0
94108.0,6146,2576,1133,190,2247,1172,4713,5112,595,144,20,655,201,722,100,73,30,174,64,24,94,69,249,78,20,0,0,,0,0,0
94105.0,5371,2039,1022,199,2111,1044,4101,5788,172,347,50,1206,370,394,355,6,30,116,56,23,224,40,124,83,71,8,0,,0,0,0
94107.0,10682,2641,2476,587,4978,2689,7477,8085,346,91,178,1049,639,622,314,40,95,167,194,150,139,97,144,362,15,7,0,,0,0,0
94123.0,5738,2051,1155,410,2122,1146,4320,4809,306,129,63,434,186,1199,27,80,10,76,59,12,48,55,218,108,6,0,0,,0,0,0
94103.0,34414,7292,8502,816,17804,9295,23609,9533,916,85,190,906,559,1080,221,124,91,208,323,164,116,132,160,337,27,5,0,,0,0,0
94109.0,23542,6159,5364,562,11457,6001,16842,7919,468,81,105,672,344,1712,58,150,120,166,90,25,71,74,344,196,15,3,0,,0,0,0
94115.0,11255,3515,2310,306,5124,2808,8375,5175,316,43,74,569,209,956,32,54,50,100,44,11,51,56,507,147,5,0,0,,0,0,0
94132.0,6477,1905,1570,346,2656,1554,4732,1929,169,31,132,121,94,97,14,2,63,27,30,8,13,24,104,59,5,0,0,,0,0,0
94117.0,9162,2667,1869,319,4307,2204,6842,5341,388,30,136,425,219,1287,45,101,47,63,28,18,42,56,179,219,3,1,0,,0,0,0
94110.0,22589,4778,5283,867,11661,6027,15779,9867,680,86,351,795,565,1188,112,138,84,133,95,103,94,131,309,587,8,4,0,,0,0,0
94127.0,2363,726,563,82,992,577,1744,2145,119,37,121,277,54,282,32,5,21,51,25,7,25,24,97,74,8,3,0,,0,0,0
94104.0,1898,702,342,79,775,368,1418,5248,135,492,27,1387,147,371,138,12,21,80,41,16,188,32,171,35,65,2,0,,0,0,0
94133.0,10093,2930,2140,391,4632,2314,7331,5403,532,78,70,426,399,1100,65,88,57,104,95,10,71,42,81,176,6,2,0,,0,0,0
94122.0,10007,2256,2218,535,4998,2440,7259,5566,314,57,378,447,244,915,43,65,123,97,72,24,28,66,235,194,25,4,0,,0,0,0
94118.0,7846,2116,1848,386,3496,1694,5736,5986,345,75,178,609,220,1193,33,67,72,78,49,28,57,54,502,160,19,0,0,,0,0,0
94134.0,7748,1649,1768,436,3895,2157,5523,2003,108,10,204,93,56,109,7,9,129,44,40,21,25,17,28,63,10,3,0,,0,0,0
94158.0,1223,354,289,113,467,284,896,688,32,19,15,52,116,183,8,0,13,10,7,11,12,1,7,9,0,0,0,,0,0,0
94130.0,2161,284,679,405,793,334,1471,434,114,0,8,19,10,2,0,0,11,3,1,9,5,5,0,17,0,0,0,,0,0,0
94129.0,1021,385,182,183,271,154,824,538,9,76,6,74,12,13,15,0,3,11,3,6,30,1,20,24,2,2,0,,0,0,0
