Zipcode,Fire total,Fire Call Alarm,Fire Call Non Life-threatening,Fire Call Fire,Fire Call Potentially Life-Threatening,Fire Transport,Fire Priority 3,Business total,Business NAICS Retail Trade,Business NAICS Financial Services,Business NAICS Construction,"Business NAICS Professional, Scientific, and Technical Services",Business NAICS Food Services,Business NAICS Real Estate and Rental and Leasing Services,Business NAICS Information,Business NAICS Accommodations,Business NAICS Transportation and Warehousing,Business NAICS Certain Services,Business NAICS Wholesale Trade,Business NAICS Manufacturing,Business NAICS Administrative and Support Services,Business NAICS Multiple,Business NAICS Private Education and Health Services,"Business NAICS Arts, Entertainment, and Recreation",Business NAICS Insurance,Business NAICS Utilities,Restaurant total,Restaurant inspection score,Restaurant low risk,Restaurant moderate risk,Restaurant high risk
94124.0,15182,2987,3717,1006,7466,4452,10918,6252,406,25,769,228,396,357,41,105,360,137,318,287,119,174,47,212,3,7,519,84.06837606837607,164,154,49
94116.0,5862,1372,1653,123,2709,1784,4108,3714,195,62,422,342,158,403,27,169,116,88,86,19,31,80,199,195,20,7,275,82.40375586854461,110,87,28
94111.0,6270,2350,1310,322,2274,1403,4763,7311,303,926,98,1780,361,673,251,40,34,121,126,56,228,83,180,80,136,6,300,89.75490196078431,116,63,22
94102.0,40959,7776,10393,555,22224,13134,28203,8066,552,107,121,1027,658,1026,163,308,134,194,69,36,161,127,552,323,6,4,976,87.74668630338734,332,257,83
94131.0,5685,1780,1494,190,2199,1542,4179,3034,105,43,168,452,84,419,48,258,48,55,32,16,46,82,121,229,3,0,161,89.625,86,42,10
94114.0,9951,2456,2636,360,4497,2606,6839,6280,417,76,145,832,330,1001,79,532,29,109,47,18,81,130,450,336,16,0,638,88.75878220140515,171,210,44
94121.0,7288,2067,1882,326,3010,1927,5265,4750,282,48,338,416,238,1001,43,220,186,94,65,26,47,103,157,211,12,1,633,84.56539235412475,222,187,93
94112.0,13884,2721,3713,453,6991,4269,9724,5701,411,45,655,317,310,382,39,277,242,135,97,46,83,128,150,203,19,12,611,85.5953488372093,236,179,43
94108.0,7204,2479,1572,192,2959,1736,5335,5804,719,191,49,899,276,942,172,106,38,173,67,32,107,120,306,123,23,4,548,83.2139423076923,195,154,53
94105.0,8463,2346,2068,334,3714,2179,6000,7109,232,500,91,1680,492,618,549,36,45,134,73,27,296,102,168,118,83,9,457,88.00651465798046,148,123,56
94107.0,12728,3180,3103,544,5897,3676,8993,10106,520,178,250,1588,653,1262,527,241,137,200,226,239,192,216,226,490,30,8,1024,88.79209370424597,223,303,101
94123.0,6547,2262,1482,209,2591,1432,4805,5555,427,159,102,631,311,1354,40,211,17,120,80,18,72,94,314,161,11,2,544,86.91836734693878,195,148,61
94103.0,40655,7268,10773,703,21884,12663,27548,11485,1102,161,264,1367,839,1435,416,388,166,250,334,208,166,294,268,514,44,8,1409,86.49726775956285,374,410,179
94109.0,27162,6618,6906,585,13044,8235,18768,8986,685,92,156,908,568,2076,80,351,141,204,102,36,101,178,453,342,20,4,1218,87.0902090209021,496,311,118
94115.0,12281,3666,2926,218,5468,3532,8947,6107,440,76,125,785,317,1089,47,238,70,117,66,22,77,128,698,203,8,1,746,85.9626998223801,247,223,108
94132.0,7262,1976,1892,360,3032,1948,5175,2492,225,33,164,189,181,296,20,49,94,47,46,15,29,64,131,89,6,0,235,90.88535031847134,128,45,12
94117.0,9944,2515,2556,319,4551,2945,6947,6240,508,30,181,613,344,1417,62,451,67,82,50,33,66,144,256,332,4,2,631,87.36404494382022,277,152,55
94110.0,23978,4711,6476,812,11968,7477,16154,12000,921,123,467,1260,949,1404,186,816,133,206,121,163,151,288,506,866,15,11,1772,86.91615853658537,612,537,177
94127.0,2972,940,705,119,1208,818,2204,2407,162,42,158,361,94,326,39,103,31,57,35,8,34,55,142,98,11,3,201,85.01183431952663,74,73,17
94104.0,2355,649,575,73,1058,533,1675,6097,157,607,41,1709,207,565,224,18,20,89,50,21,233,58,253,52,85,2,218,88.64383561643835,75,58,14
94133.0,10482,2666,2637,400,4774,2914,7504,6061,644,112,100,605,572,1249,109,218,78,119,113,20,96,100,116,251,18,2,942,88.54816824966079,450,234,48
94122.0,10250,2149,2791,622,4681,3012,7142,6375,442,57,478,618,405,1030,56,301,169,131,96,45,60,151,330,297,26,6,684,86.15985130111524,288,201,73
94118.0,8542,2404,2320,293,3518,2229,6124,6604,474,86,233,789,348,1361,53,209,105,100,61,48,87,106,604,223,26,1,865,84.66901408450704,337,227,148
94134.0,8157,1442,2257,395,4059,2494,5701,2492,166,16,308,147,123,134,16,74,194,58,49,28,43,48,41,96,14,3,207,83.9618320610687,68,65,24
94158.0,2653,771,718,91,1073,715,1987,971,57,29,25,103,166,217,21,15,25,11,11,11,16,18,15,25,0,0,51,86.6,16,14,8
94130.0,2239,312,729,198,1000,394,1435,523,115,0,18,39,17,3,2,0,18,3,2,16,7,26,1,20,0,0,15,91.6,4,5,0
94129.0,1526,429,273,472,352,227,1282,658,24,102,7,108,14,16,23,0,6,12,7,5,37,8,29,37,3,2,0,,0,0,0
